Genome	DomestiCAT_Aruba-501 Length	DomestiCAT_Aruba-502 Length	DomestiCAT_Aruba-503 Length	DomestiCAT_Aruba-504 Length	DomestiCAT_Aruba-505 Length	DomestiCAT_Aruba-506 Length	DomestiCAT_Aruba-507 Length	DomestiCAT_Aruba-508 Length	DomestiCAT_Aruba-509 Length	DomestiCAT_Aruba-510 Length	DomestiCAT_Aruba-511 Length	DomestiCAT_Aruba-512 Length	DomestiCAT_Aruba-513 Length	DomestiCAT_Aruba-514 Length	DomestiCAT_Aruba-515 Length	DomestiCAT_Aruba-516 Length	DomestiCAT_Brazil-501 Length	DomestiCAT_Brazil-502 Length	DomestiCAT_Brazil-503 Length	DomestiCAT_Brazil-504 Length	DomestiCAT_Brazil-505 Length	DomestiCAT_Brazil-506 Length	DomestiCAT_Brazil-507 Length	DomestiCAT_Brazil-508 Length	DomestiCAT_Brazil-509 Length	DomestiCAT_Brazil-510 Length	DomestiCAT_Brazil-511 Length	DomestiCAT_Brazil-512 Length	DomestiCAT_Brazil-513 Length	DomestiCAT_Brazil-514 Length	DomestiCAT_Brazil-515 Length	DomestiCAT_Brazil-516 Length	DomestiCAT_CaboVerde-501 Length	DomestiCAT_CaboVerde-502 Length	DomestiCAT_CaboVerde-503 Length	DomestiCAT_CaboVerde-504 Length	DomestiCAT_CaboVerde-505 Length	DomestiCAT_CaboVerde-506 Length	DomestiCAT_CaboVerde-507 Length	DomestiCAT_CaboVerde-508 Length	DomestiCAT_CaboVerde-509 Length	DomestiCAT_CaboVerde-510 Length	DomestiCAT_CaboVerde-511 Length	DomestiCAT_CaboVerde-512 Length	DomestiCAT_CaboVerde-513 Length	DomestiCAT_CaboVerde-514 Length	DomestiCAT_CaboVerde-515 Length	DomestiCAT_Denmark_10 Length	DomestiCAT_Denmark_11 Length	DomestiCAT_Denmark_12 Length	DomestiCAT_Denmark_13 Length	DomestiCAT_Denmark_14 Length	DomestiCAT_Denmark_15 Length	DomestiCAT_Denmark_16 Length	DomestiCAT_Denmark_1 Length	DomestiCAT_Denmark_2 Length	DomestiCAT_Denmark_3 Length	DomestiCAT_Denmark_4 Length	DomestiCAT_Denmark_5 Length	DomestiCAT_Denmark_6 Length	DomestiCAT_Denmark_7 Length	DomestiCAT_Denmark_8 Length	DomestiCAT_Denmark_9 Length	DomestiCAT_Denmark_blank Length	DomestiCAT-Malaysia-501 Length	DomestiCAT-Malaysia-502 Length	DomestiCAT-Malaysia-503 Length	DomestiCAT-Malaysia-504 Length	DomestiCAT-Malaysia-505 Length	DomestiCAT-Malaysia-506 Length	DomestiCAT-Malaysia-507 Length	DomestiCAT-Malaysia-508 Length	DomestiCAT-Malaysia-509 Length	DomestiCAT-Malaysia-510 Length	DomestiCAT-Malaysia-511 Length	DomestiCAT-Malaysia-512 Length	DomestiCAT-Malaysia-513 Length	DomestiCAT-Malaysia-514 Length	DomestiCAT-Malaysia-515 Length	DomestiCAT-Malaysia-516 Length	DomestiCAT_Spain-501 Length	DomestiCAT_Spain-502 Length	DomestiCAT_Spain-503 Length	DomestiCAT_Spain-504 Length	DomestiCAT_Spain-505 Length	DomestiCAT_Spain-506 Length	DomestiCAT_Spain-507 Length	DomestiCAT_Spain-508 Length	DomestiCAT_Spain-509 Length	DomestiCAT_Spain-510 Length	DomestiCAT_Spain-511 Length	DomestiCAT_Spain-512 Length	DomestiCAT_Spain-513 Length	DomestiCAT_Spain-514 Length	DomestiCAT_Spain-515 Length	DomestiCAT_Spain-516 Length
bin_Brazil.57	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890	3419890
bin_Spain.60	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681	2295681
bin_Aruba.51	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446	1665446
bin_Malaysia.13	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090	1875090
bin_Denmark.63	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998	1800998
bin_Aruba.11	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779	2000779
bin_Aruba.52	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785	1857785
bin_Malaysia.34	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818	2053818
bin_Spain.73	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441	1988441
bin_Denmark.7	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015	2765015
bin_Denmark.22	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315	1569315
bin_Denmark.20	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279	2018279
bin_Brazil.91	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050	1308050
bin_Denmark.66	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741	1673741
bin_Aruba.4	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793	3116793
bin_Malaysia.86	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785	2538785
